Port_Area,Sub_Area,Species,Month,Day,Year,Date,Samples,Range,Low,High,Average,Percent_Exceeding
Crescent,Crescent City,Dungeness,9,23,2015,2015-9-23,6,2.5-120,2.5,120,37,66
Crescent,Crescent City,Dungeness,10,29,2015,2015-10-29,6,28-140,28,140,66,91
Crescent,Crescent City,Dungeness,11,18,2015,2015-11-18,9,2.5-91,2.5,91,40,44
Crescent,Crescent City,Dungeness,12,1,2015,2015-12-1,10,10-69,10,69,34,40
Crescent,Crescent City,Dungeness,12,16,2015,2015-12-16,9,9.8-39,9.8,39,22.7,22
Crescent,Crescent City North,Dungeness,12,30,2015,2015-12-30,6,8.6-25,8.6,25,17,0
Crescent,Crescent City South,Dungeness,12,30,2015,2015-12-30,6,15-31,15,31,23,17
Crescent,Crescent City North,Dungeness,1,10,2016,2016-1-10,6,4.9-49,4.9,49,22,17
Crescent,Crescent City South,Dungeness,1,10,2016,2016-1-10,6,12-59,12,59,32,33
Crescent,Crescent City South,Dungeness,1,24,2016,2016-1-24,6,16-35,16,35,24,33
Crescent,Crescent City North,Dungeness,1,24,2016,2016-1-24,6,4.9-25,4.9,25,14,0
Crescent,Crescent City South,Dungeness,2,1,2016,2016-2-1,6,2.5-17,2.5,17,10,0
Crescent,Crescent City North,Dungeness,2,1,2016,2016-2-1,6,2.5-21,2.5,21,8,0
Trinidad,Trinidad,Dungeness,9,11,2015,2015-9-11,6,23-140,23,140,95,83
Trinidad,Trinidad,Dungeness,10,26,2015,2015-10-26,8,39-97,39,97,66,100
Trinidad,Trinidad,Dungeness,11,17,2015,2015-11-17,15,17-65,17,65,36,60
Trinidad,Trinidad,Dungeness,12,16,2015,2015-12-16,6,8.4-37,8.4,37,17.5,17
Trinidad,Trinidad North,Dungeness,12,26,2015,2015-12-26,6,2.5-49,2.5,49,20.2,17
Trinidad,Trinidad South,Dungeness,12,26,2015,2015-12-26,6,7.4-38,7.4,38,19.4,17
Trinidad,Trinidad North,Dungeness,1,23,2016,2016-1-23,6,2.5-31,2.5,31,13,17
Trinidad,Trinidad South,Dungeness,1,23,2016,2016-1-23,6,8.5-29,8.5,29,17,0
Eureka,Eureka,Dungeness,9,15,2015,2015-9-15,6,30-120,30,120,76,100
Eureka,Eureka,Dungeness,10,27,2015,2015-10-27,12,37-140,37,140,67,100
Eureka,Louisiana Pacific,Dungeness,11,23,2015,2015-11-23,6,13-53,13,53,36.5,83
Eureka,Eel River,Dungeness,11,23,2015,2015-11-23,6,13-59,13,59,34.6,50
Eureka,Eel River,Dungeness,12,16,2015,2015-12-16,6,29-54,29,54,38.2,50
Eureka,Samoa,Dungeness,12,16,2015,2015-12-16,6,12-63,12,63,24.7,17
Eureka,Eel River,Dungeness,12,30,2015,2015-12-30,6,16-40,16,40,31,67
Eureka,Samoa,Dungeness,12,30,2015,2015-12-30,6,3.7-33,3.7,33,17.8,17
Eureka,Eel River,Dungeness,1,21,2016,2016-1-21,6,13-29,13,29,22.2,0
Eureka,Samoa,Dungeness,1,21,2016,2016-1-21,6,2.5-12,2.5,12,7.9,0
Fort Bragg,Fort Bragg,Dungeness,10,30,2015,2015-10-30,6,2.5-15,2.5,15,6.5,0
Fort Bragg,Fort Bragg,Dungeness,11,22,2015,2015-11-22,6,46-270,46,270,118,100
